surr_id,incident_id,quarter,school,city,state,school_level,location,situation,targets,barricade,officer_involved,bullied,domestic_violence,gang_related,preplanned,shots_fired,active_shooter_fbi,first_shot
619,19971010INWAG,Fall,Wallace High School,Gary,IN,High,Football Field/Track,Indiscriminate Shooting,Both,No,No,No,No,Yes,No,6,Unknown,Unknown
620,19971014TXLAG,Fall,Lakeview Centennial High School,GarlaUnknown,TX,High,Bathroom,Suicide/Attempted,Victims Targeted,No,No,No,No,No,No,9,Unknown,Unknown
621,19971015FLLIP,Fall,Lincoln Middle School,Palmetto,FL,Middle,Outside on School Property,Escalation of Dispute,Unknown,No,No,Unknown,No,No,No,8,Unknown,Unknown
622,19971020CAMCO,Fall,McClymonds High School,OaklaUnknown,CA,High,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,No,Unknown,No,No,8,Unknown,20:00:00
623,19971022CAJON,Fall,John Glenn High School,Norwalk,CA,High,Outside on School Property,Murder/Suicide,Victims Targeted,No,No,No,Yes,No,No,4,Unknown,7:45:00
625,19971113CACRS,Fall,Creekside Elementary School,Sacramento,CA,Elementary,Parking Lot,Domestic w/ Targeted Victim,Victims Targeted,No,No,No,Yes,No,No,4,Unknown,Unknown
629,19980225MIRER,Winter,Reed City High School,Reed City,MI,High,Hallway,Suicide/Attempted,Victims Targeted,No,No,Unknown,No,No,No,1,Unknown,8:00:00
632,19980325CAFED,Spring,Fernando Rivera Middle School,Daly City,CA,Middle,Courtyard,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,No,1,Unknown,8:15:00
636,19980423CACUL,Spring,Culver City High School,Los Angeles,CA,High,Front of School,Drive-by Shooting,Unknown,No,No,No,No,Yes,No,5,Unknown,14:00:00
639,19980428WIPAP,Spring,Pardeeville Elementary School,Pardeeville,WI,Elementary,Parking Lot,Illegal Activity,Victims Targeted,No,No,No,No,No,No,14,Unknown,21:00:00
643,19980521CARIR,Spring,Rialta High School,Rialto,CA,High,Courtyard,Suicide/Attempted,Victims Targeted,No,No,Yes,No,No,No,1,Unknown,Unknown
646,19980527CAWAP,Spring,Washington Middle School,PasadeUnknown,CA,Middle,Beside Building,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,8,Unknown,18:15:00
